Curve Energy
197500.0 -23801.41923293506
197750.0 -23800.2664889527
198000.0 -23800.05164560994
198250.0 -23799.62207238139
198500.0 -23800.60137799912
198750.0 -23800.97638164027
199000.0 -23801.22851948171
199250.0 -23800.3503040124
199500.0 -23800.67588449137
199750.0 -23799.97763339699
200000.0 -23800.37437869109
200250.0 -23799.79392117117
200500.0 -23801.10006585504
200750.0 -23799.32171154902
201000.0 -23799.71986673139
201250.0 -23800.53108108015
201500.0 -23800.15876943024
201750.0 -23799.60373083868
202000.0 -23800.99545225742
202250.0 -23801.01292083532
202500.0 -23800.4206615329
202750.0 -23800.46430309721
203000.0 -23800.29655083939
203250.0 -23800.70849790327
203500.0 -23799.98640274967
203750.0 -23801.20795518068
204000.0 -23801.14767340999
204250.0 -23800.90714078097
204500.0 -23801.1715088797
204750.0 -23801.05159794603
205000.0 -23800.63511710672
205250.0 -23801.50676974961
205500.0 -23800.54649680102
205750.0 -23801.18371900509
206000.0 -23801.31638041453
206250.0 -23801.77590368796
206500.0 -23801.8071783596
206750.0 -23801.18184592582
207000.0 -23801.79309967639
207250.0 -23800.54491917664
207500.0 -23801.87426888722
207750.0 -23802.63750818662
208000.0 -23802.30773462412
208250.0 -23801.26576056676
208500.0 -23800.53680669954
208750.0 -23800.49592577777
209000.0 -23800.75722810526
209250.0 -23800.61322882356
209500.0 -23801.18292304192
209750.0 -23801.37330663855
210000.0 -23800.64744480231
210250.0 -23801.69357371684
210500.0 -23801.72327511982
210750.0 -23802.448463882
211000.0 -23801.62611000085
211250.0 -23800.74175468201
211500.0 -23801.6708054029
211750.0 -23801.20609108033
212000.0 -23801.47220603348
212250.0 -23800.94848230449
212500.0 -23801.0060102225
212750.0 -23801.4536302289
213000.0 -23801.79360007227
213250.0 -23800.77209949735
213500.0 -23801.65370029111
213750.0 -23800.72717133007
214000.0 -23801.2506864931
214250.0 -23802.07083124349
214500.0 -23802.05650663116
214750.0 -23801.48341856465
215000.0 -23801.62594871125
215250.0 -23801.1059679162
215500.0 -23801.09324473373
215750.0 -23801.05331231414
216000.0 -23801.07937105259
216250.0 -23800.959398144
216500.0 -23802.37727050756
216750.0 -23801.21750982022
217000.0 -23801.44473681465
217250.0 -23800.99768843103
217500.0 -23801.03614383104
217750.0 -23801.49408303346
218000.0 -23801.50885268054
218250.0 -23800.33661508736
218500.0 -23801.58717941715
218750.0 -23801.72956591227
219000.0 -23802.34544471489
219250.0 -23801.59726970689
219500.0 -23800.6754686732
219750.0 -23800.18945674551
220000.0 -23800.78518728516
220250.0 -23801.63405482604
220500.0 -23801.44756637911
220750.0 -23802.04902924743
221000.0 -23801.48155460734
221250.0 -23802.58658621848
221500.0 -23801.7738921811
221750.0 -23801.6537017974
222000.0 -23801.79718491179
222250.0 -23801.99825970051
222500.0 -23802.37624769026
222750.0 -23802.91126394776
223000.0 -23802.05278814614
223250.0 -23802.53006866224
223500.0 -23801.94262109652
223750.0 -23802.05577455894
224000.0 -23801.09301229391
224250.0 -23801.79114615866
224500.0 -23800.46391906737
224750.0 -23800.90501262539
225000.0 -23801.28768988059
225250.0 -23800.81326186568
225500.0 -23801.04531317481
225750.0 -23801.54145969202
226000.0 -23802.40673795826
226250.0 -23803.11084636841
226500.0 -23800.91838067793
226750.0 -23801.33919390045
227000.0 -23801.88325471109
227250.0 -23802.60603397592
227500.0 -23801.96303036424
227750.0 -23801.96909546274
228000.0 -23801.34349344144
228250.0 -23801.36110889104
228500.0 -23801.45821714662
228750.0 -23802.08840169816
229000.0 -23802.82092584629
229250.0 -23801.77169379907
